ID,country,year,lineage,,place,province,latitude,longitude,species,date
Z-13-089,Philippines,2013,Asian SEA4_B1.1.1,,Naic,Cavite,14.29182513,120.7960137,Canis familiaris,04/05/2013
Z-17-221,Philippines,2017,Asian SEA4_C1,,Noveleta,Cavite,14.43119105,120.8796209,Canis familiaris,28/11/2017
4B-22-41,Philippines,2022,Asian SEA4_A1.2,,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,24/11/2022
4B-22-44,Philippines,2022,Asian SEA4_A1.2,,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,11/12/2022
4B-23-02,Philippines,2023,Asian SEA4_A1.2,,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,13/01/2023
4B-23-13,Philippines,2023,Asian SEA4_A1.2,,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,09/02/2023
4B-23-15,Philippines,2023,Asian SEA4_A1.2,,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,16/02/2023
4B-23-16,Philippines,2023,Asian SEA4_A1.2,,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,28/02/2023
4B-23-17,Philippines,2023,Asian SEA4_A1.2,,Odiongan,Romblon,12.39865996,122.0177701,Canis familiaris,01/03/2023
R6-4342,Philippines,2021,Asian SEA4_A1,,Oton,Iloilo,10.72535873,122.4673796,Bos taurus,30/09/2021
Z-05-96,Philippines,2005,Asian SEA4_A1.2,,Paranaque,Metro Manila,14.48357034,121.0147858,Canis familiaris,17/02/2005
Z-98-454,Philippines,1998,Asian SEA4_A1,,Paranaque,Metro Manila,14.48357034,121.0147858,Canis familiaris,04/05/1998
Z-13-073,Philippines,2013,Asian SEA4_A1.1.2,,Paranaque  ,Metro Manila,14.48357034,121.0147858,Canis familiaris,12/04/2013
Z-09-94,Philippines,2009,Asian SEA4_A1.1.2,,Pasay  ,Metro Manila,14.53080944,121.0041508,Canis familiaris,08/04/2009
Z-20-33,Philippines,2020,Asian SEA4_A1.1.2,,Pasay  ,Metro Manila,14.53080944,121.0041508,Canis familiaris,18/02/2020
R6-21-4600,Philippines,2021,Asian SEA4_A1,,Pavia,Iloilo,10.76834195,122.5361294,Canis familiaris,14/10/2021
Z-15-001,Philippines,2015,Asian SEA4_A1.1.2,,Pililla,Rizal,14.4548703,121.3449535,Canis familiaris,01/01/2015
4B-22-21,Philippines,2022,Asian SEA4_A1.2,,Pinamalayan,Oriental Mindoro,13.02301767,121.4031803,Canis familiaris,31/05/2022
