ID,country,year,assignment,lab_date,brgy,municipality,province,latitude,longitude,species,species_type,,,
4B-22-114,Philippines,2022,Asian SEA4,14/1/2022,Mayabig,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-22-28,Philippines,2022,Asian SEA4,27/7/2022,Mangangan,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-22-30,Philippines,2022,Asian SEA4,12/8/2022,Bangkatan,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-2922HM,Philippines,2022,Asian SEA4,9/2/2022,Mangangan,Baco,Oriental Mindoro,13.29039427,121.066837,Canis familiaris,Domestic Dog,,,
4B-22-16,Philippines,2022,Asian SEA4,28/4/2022,Orcenuma,Bongabong,Oriental Mindoro,12.71623574,121.3862303,Canis familiaris,Domestic Dog,,,
4B-2922JG,Philippines,2022,Asian SEA4,9/2/2022,Anilao,Bongabong,Oriental Mindoro,12.71623574,121.3862303,Canis familiaris,Domestic Dog,,,
4B-21-126,Philippines,2021,Asian SEA4,26/1/2021,Sapul,Calapan ,Oriental Mindoro,13.33178512,121.1780294,Canis familiaris,Domestic Dog,,,
4B-21-423,Philippines,2021,Asian SEA4,23/4/2021,Camilmil,Calapan ,Oriental Mindoro,13.33178512,121.1780294,Canis familiaris,Domestic Dog,,,
4B-22-17,Philippines,2022,Asian SEA4,8/5/2022,Narra,Gloria,Oriental Mindoro,12.92166054,121.3754507,Canis familiaris,Domestic Dog,,,
4B-22-13,Philippines,2022,Asian SEA4,22/4/2022,Teresita,Mansalay,Oriental Mindoro,12.54836969,121.3482134,Canis familiaris,Domestic Dog,,,
4B-22-20,Philippines,2022,Asian SEA4,19/5/2022,Don Pedro,Mansalay,Oriental Mindoro,12.54836969,121.3482134,Canis familiaris,Domestic Dog,,,
4B-22-40,Philippines,2022,Asian SEA4,2/12/2022,Balugo,Mansalay,Oriental Mindoro,12.54836969,121.3482134,Canis familiaris,Domestic Dog,,,
4B-22-21,Philippines,2022,Asian SEA4,31/5/2022,Panggulayan,Pinamalayan,Oriental Mindoro,13.02301767,121.4031803,Canis familiaris,Domestic Dog,,,
Z-12-149,Philippines,2012,Asian SEA4,28/6/2012,Palayan,Pinamalayan,Oriental Mindoro,13.02301767,121.4031803,Canis familiaris,Domestic Dog,,,
4B-22-31,Philippines,2022,Asian SEA4,18/8/2022,Bayanan,Pola,Oriental Mindoro,13.13990357,121.4449478,Canis familiaris,Domestic Dog,,,
4B-21-310,Philippines,2021,Asian SEA4,10/3/2021,Tabinay ,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-21-35,Philippines,2021,Asian SEA4,5/3/2021,Tabinay ,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-21-412,Philippines,2021,Asian SEA4,12/4/2021,Sto Nino,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-21-528,Philippines,2021,Asian SEA4,28/5/2021,Aninuan,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-22-15,Philippines,2022,Asian SEA4,5/1/2022,San Isidro,Puerto Galera,Oriental Mindoro,13.39217641,120.8953101,Canis familiaris,Domestic Dog,,,
4B-22-35,Philippines,2022,Asian SEA4,25/10/2022,Bagumbayan,Roxas,Oriental Mindoro,12.61737051,121.4554967,Canis familiaris,Domestic Dog,,,
4B-21-29,Philippines,2021,Asian SEA4,9/2/2021,San Narciso ,Victoria ,Oriental Mindoro,13.14368391,121.2438544,Canis familiaris,Domestic Dog,,,
