ID,country,year,lineage,brgy,place,province,region,latitude,longitude,species,date
Z-07-387,Philippines,2007,Asian SEA4_A1.2,Bagong Liing,San Antonio,Quezon,Calabarzon,13.89985141,121.2980234,Canis familiaris,07/12/2007
Z-07-398,Philippines,2007,Asian SEA4_A1.1.2,Paciano Rizal,Calamba,Laguna,Calabarzon,14.18862277,121.1242055,Canis familiaris,19/12/2007
Z-07-403,Philippines,2007,Asian SEA4_B1.1,Sampagutia Exit,Lucena  ,Quezon,Calabarzon,13.93834754,121.6153593,Canis familiaris,22/12/2007
Z-07-407,Philippines,2007,Asian SEA4_A1.1.2,Southland Talon 1,Las Pinas,Metro Manila,National Capital Region,14.4423825,120.9940879,Canis familiaris,26/12/2007
Z-08-351,Philippines,2007,Asian SEA4_B1.1,-,GMA,Cavite,Calabarzon,14.30698662,121.0184177,Canis familiaris,12/12/2008
Z-08-359,Philippines,2007,Asian SEA4_A1.3.1,San Lucas II,San Pablo  ,Laguna,Calabarzon,14.05146733,121.3315598,Canis familiaris,25/12/2008
Z-09-94,Philippines,2009,Asian SEA4_A1.1.2,Brgy 191,Pasay  ,Metro Manila,National Capital Region,14.53080944,121.0041508,Canis familiaris,08/04/2009
Z-12-012,Philippines,2012,Asian SEA4_A1.1.2,Sulpoc,Tanauan  ,Batangas,Calabarzon,14.09625533,121.0970452,Canis familiaris,16/01/2012
Z-12-029,Philippines,2012,Asian SEA4_A1.2,Sss Village,Marikina  ,Metro Manila,National Capital Region,14.64718362,121.1030131,Canis familiaris,03/02/2012
Z-12-034,Philippines,2012,Asian SEA4_A1.3.1,Bgy. Santo Anghel,San Pablo  ,Laguna,Calabarzon,14.05146733,121.3315598,Canis familiaris,06/02/2012
Z-12-060,Philippines,2012,Asian SEA4_A1.2,F.De Castro,GMA,Cavite,Calabarzon,14.30698662,121.0184177,Canis familiaris,25/02/2012
Z-12-149,Philippines,2012,Asian SEA4_A1.1.2,Palayan,Pinamalayan,Oriental Mindoro,Southwestern Tagalog Region,13.02301767,121.4031803,Canis familiaris,28/06/2012
Z-12-208,Philippines,2012,Asian SEA4_A1.2,De Paro St.,Caloocan  ,Metro Manila,National Capital Region,14.74647256,121.0486805,Canis familiaris,02/10/2012
